"Species1","Mass","Wing.Length","Hand-Wing.Index"
"Pogonornis bidentatus",79.3,99.2,15.4
"Pogonornis dubius",91,110.4,18
"Pogonornis macclounii",46.7,85.2,15.3
"Pogonornis melanopterus",52.4,92.1,14.4
"Pogonornis minor",46.7,89.5,15.7
"Pogonornis rolleti",100.4,112.8,18.4
"Stactolaema anchietae",47.3,89.2,24
"Stactolaema leucogrammica",54.9,93.5,22.1
"Stactolaema leucotis",54.9,90.9,19.9
"Stactolaema whytii",55.6,91.4,23.2
"Trachylaemus goffinii",76.1,104.2,11.4
"Trachylaemus purpuratus",76.1,106.8,10.6
"Trachylaemus togoensis",76.1,105.5,11.7
"Trachyphonus darnaudii",35.8,77.6,11.5
"Trachyphonus emini",35.8,79.3,9.4
"Trachyphonus erythrocephalus",63.5,96.6,11.9
"Trachyphonus margaritatus",64,94.6,12.6
"Trachyphonus usambiro",35.8,81.6,12
"Trachyphonus vaillantii",69.4,100.4,14.2
"Tricholaema diademata",30.6,78,14
"Tricholaema frontata",26.8,77.4,18
"Tricholaema hirsuta",55.2,88.8,17.2
"Tricholaema lacrymosa",22.9,68.8,14.8
"Tricholaema leucomelas",32.2,79,16.2
"Tricholaema melanocephala",20.5,66.4,14.1
"Caloramphus fuliginosus",42.6,78.2,19.7
"Caloramphus hayii",42.6,81,19.3
"Psilopogon annamensis",87.7,94.2,19.1
"Psilopogon armillaris",69.4,95,20
"Psilopogon asiaticus",90.5,103.6,17.5
"Psilopogon auricularis",63.5,96,17.9
"Psilopogon australis",33.3,74.2,21.7
"Psilopogon chersonesus",90.5,97.2,15.9
"Psilopogon chrysopogon",151,124.7,18.8
"Psilopogon corvinus",130,121.8,18.3
"Psilopogon cyanotis",33.3,83.7,19.3
"Psilopogon duvaucelii",33.3,75.4,22.1
"Psilopogon eximius",33.3,77,18.8
"Psilopogon faber",87.7,103.2,20.1
"Psilopogon faiostrictus",93,109.4,18.8
"Psilopogon flavifrons",58.5,88.6,19.6
"Psilopogon franklinii",63.5,98.8,16.7
"Psilopogon haemacephalus",44.5,80.6,25.1
"Psilopogon henricii",74.1,91.8,19.9
"Psilopogon incognitus",93,94.5,18
"Psilopogon javensis",115,109.4,18.6
"Psilopogon lagrandieri",93,132.4,19.2
"Psilopogon lineatus",149,125.6,19
"Psilopogon malabaricus",37.6,79.2,29
"Psilopogon monticola",93.4,102.8,16.6
"Psilopogon mystacophanos",77.4,95.2,15.8
"Psilopogon nuchalis",87.7,100,17.8
"Psilopogon oorti",87.7,91.8,19.1
"Psilopogon pulcherrimus",65.4,91.5,16.7
"Psilopogon pyrolophus",129,123.4,15.4
"Psilopogon rafflesii",118,116.6,18
"Psilopogon rubricapillus",37.6,73.8,25.2
"Psilopogon virens",202,138.4,21.7
"Psilopogon viridis",80.5,104.2,20.7
"Psilopogon zeylanicus",119,108.8,18
"Blythipicus pyrrhotis",132,147.5,12.3
"Blythipicus rubiginosus",81.9,119.4,13.7
"Campephilus gayaquilensis",241.2,178.2,22
"Campephilus guatemalensis",242,180.8,21
"Campephilus haematogaster",237,182.2,13.5
"Campephilus imperialis",700,303,37
"Campephilus leucopogon",249,181.2,25.7
"Campephilus magellanicus",324,218.4,24.1
"Campephilus melanoleucos",256,184,21.9
"Campephilus pollens",187.9,174.6,16.4
"Campephilus principalis",516,255.8,33.3
"Campephilus robustus",200,184.5,20.1
"Campephilus rubricollis",210.7,179.1,17.9
"Campephilus splendens",237,180.4,16.7
"Campethera abingoni",67.5,110.4,18.3
"Campethera bennettii",70.1,116.8,20.9
"Campethera cailliautii",41.1,90,16.4
"Campethera caroli",44.2,101.4,17.5
"Campethera maculosa",54,100.4,18
"Campethera mombassica",59.6,107.8,17.1
"Campethera nivosa",37.8,82.9,11.3
"Campethera notata",62,104.8,17
"Campethera nubica",59.7,109.2,17.5
"Campethera punctuligera",71.8,113.4,19.6
"Campethera scriptoricauda",59.7,112.2,19.6
"Campethera taeniolaema",50.5,107.2,19.9
"Campethera tullbergi",50.5,108.6,14.2
"Celeus castaneus",85.6,125.6,24
"Celeus elegans",135,161.3,17.8
"Celeus flavescens",139,150.6,16.2
"Celeus flavus",147.3,140.2,18.7
"Celeus galeatus",124,162.5,19
"Celeus loricatus",76.6,118.8,23.7
"Celeus lugubris",137,142.6,18
"Celeus obrieni",114,139,12.1
"Celeus occidentalis",134,152.9,23.8
"Celeus ochraceus",139,141.3,17.2
"Celeus spectabilis",114,146.1,15.9
"Celeus tinnunculus",134,149.9,23.9
"Celeus torquatus",134,152.4,20.5
"Celeus undatus",64.5,122.8,22.5
"Chrysocolaptes erythrocephalus",142,146.9,21.2
"Chrysocolaptes festivus",213,152.6,26.1
"Chrysocolaptes guttacristatus",166,165.6,22.3
"Chrysocolaptes haematribon",130,142.8,21.8
"Chrysocolaptes lucidus",142,153,19.9
"Chrysocolaptes stricklandi",138,144.8,19.9
"Chrysocolaptes strictus",142,139.5,22
"Chrysocolaptes validus",149,153.4,16.1
"Chrysocolaptes xanthocephalus",142,146,21.6
"Chrysophlegma flavinucha",176.8,155,20.9
"Chrysophlegma humii",99.7,130.9,16.1
"Chrysophlegma mentale",99.7,142.8,25
"Chrysophlegma miniaceum",97.3,121.2,18
"Colaptes aeruginosus",55.8,129.3,21.3
"Colaptes atriceps",102,125.7,20
"Colaptes atricollis",76.1,118.5,18.6
"Colaptes auratus",131.5,151.8,24.8
"Colaptes auricularis",65.4,119.5,26.6
"Colaptes cafer",131.5,166.6,24.5
"Colaptes campestris",158,156.3,17.6
"Colaptes campestroides",158,165.8,23.4
"Colaptes chrysoides",111,138.4,27.5
"Colaptes cinereicapillus",174,167.2,22.3
"Colaptes fernandinae",135,143.8,20.3
"Colaptes melanochloros",127.3,134.2,13.3
"Colaptes melanolaimus",127.3,150.4,20.6
"Colaptes mexicanoides",131.5,154.7,22.4
"Colaptes pitius",159,151.5,25
"Colaptes punctigula",62,108.1,18.6
"Colaptes rivolii",102,131.1,20.9
"Colaptes rubiginosus",55.8,123.7,24.1
"Colaptes rupicola",174,167.2,21.3
"Dendrocopos analis",44.9,90.2,20.8
"Dendrocopos assimilis",51.8,115.2,27.6
"Dendrocopos atratus",46.7,113.3,25.8
"Dendrocopos darjellensis",70.7,126,25.6
"Dendrocopos himalayensis",67.7,127.8,26.7
"Dendrocopos hyperythrus",46.5,115.8,28.9
"Dendrocopos leucopterus",67,126.4,26.4
"Dendrocopos leucotos",116.8,142.8,29.9
"Dendrocopos macei",44.9,104.9,25.1
"Dendrocopos major",74.9,136.2,29.3
"Dendrocopos noguchii",200,153,21.4
"Dendrocopos owstoni",116.8,149.8,28.4
"Dendrocopos syriacus",76.7,123.2,26.6
"Dendropicos abyssinicus",24.5,92.4,24
"Dendropicos dorae",19.5,109.4,25.7
"Dendropicos elachus",18.4,78.4,19.6
"Dendropicos elliotii",37.2,91.8,16.3
"Dendropicos fuscescens",26,92,22.5
"Dendropicos gabonensis",25.9,79.2,22
"Dendropicos goertae",44.5,108,22.1
"Dendropicos griseocephalus",40.9,105.3,21.5
"Dendropicos johnstoni",37.2,91.4,17
"Dendropicos lugubris",25.9,85.6,21
"Dendropicos namaquus",81.5,125.8,27.3
"Dendropicos obsoletus",21.4,77.6,23.3
"Dendropicos poecilolaemus",28.1,84.4,15.4
"Dendropicos pyrrhogaster",68.5,112.8,19.9
"Dendropicos spodocephalus",47.3,109.6,23.5
"Dendropicos stierlingi",28,100,30.6
"Dendropicos xantholophus",81.5,110.6,21.4
"Dinopium benghalense",100,140.9,20.7
"Dinopium everetti",93.8,137.1,21.2
"Dinopium javanense",72.8,134.1,21
"Dinopium psarodes",97,134,22.6
"Dinopium rafflesii",102,134.2,19
"Dinopium shorii",101,150.2,22.2
"Dryobates cathpharius",30.7,98.2,26.8
"Dryobates minor",19.8,90.2,27.4
"Dryobates nuttallii",37.4,102.2,24.4
"Dryobates pernyii",30.7,110.6,24
"Dryobates pubescens",25.6,91.3,27
"Dryobates scalaris",31.6,96.8,24.6
"Dryocopus hodgei",156,184,21.1
"Dryocopus javensis",271.4,219.4,22
"Dryocopus martius",321,237.8,26.4
"Gecinulus grantia",76,126.2,17.4
"Gecinulus viridis",69.2,127.6,18.5
"Geocolaptes olivaceus",120,128.2,21.6
"Hemicircus canente",43,94.6,12.7
"Hemicircus concretus",29.4,83.9,13.8
"Hemicircus sordidus",29.4,83.1,19.1
"Hylatomus fuscipennis",183.2,175.9,23.6
"Hylatomus lineatus",183.2,185.9,21.7
"Hylatomus pileatus",286.6,228.4,25.3
"Hylatomus schulzii",200,172.4,23.6
"Jynx ruficollis",46.4,90.6,19.4
"Jynx torquilla",35,87.4,27.1
"Leiopicus auriceps",39.9,114,31.5
"Leiopicus mahrattensis",34.3,99.4,24.7
"Leiopicus medius",59,123.6,28.1
"Leuconotopicus albolarvatus",61.1,127,25.8
"Leuconotopicus arizonae",40.9,113,28.3
"Leuconotopicus borealis",48,117,32.1
"Leuconotopicus fumigatus",36.2,95.1,20
"Leuconotopicus stricklandi",40.9,114,28.4
"Leuconotopicus villosus",62.7,126.7,25.3
"Meiglyptes grammithorax",31.7,96.1,18.4
"Meiglyptes jugularis",53.4,100.6,17.5
"Meiglyptes tristis",31.7,91.1,19.6
"Meiglyptes tukki",53.1,96.8,15.6
"Melanerpes aurifrons",80.8,129.1,24.2
"Melanerpes cactorum",34.9,106,24.9
"Melanerpes candidus",108,157.2,30.8
"Melanerpes carolinus",69.5,127.2,28.2
"Melanerpes chrysauchen",52.5,110.2,26.3
"Melanerpes chrysogenys",67.7,117.8,21.4
"Melanerpes cruentatus",58.1,113.8,27.8
"Melanerpes erythrocephalus",71.6,139.7,29.1
"Melanerpes flavifrons",57.8,117,26.6
"Melanerpes formicivorus",79.6,139.8,28
"Melanerpes herminieri",100,136.4,24.7
"Melanerpes hoffmannii",72.2,118.1,21.4
"Melanerpes hypopolius",52.4,125.2,27.6
"Melanerpes lewis",105.8,166.8,31.4
"Melanerpes portoricensis",59.9,119.1,24.8
"Melanerpes pucherani",62.4,110.6,25.3
"Melanerpes pulcher",52.5,107.6,29.9
"Melanerpes pygmaeus",38.8,97.4,21.3
"Melanerpes radiolatus",108,133.2,20.5
"Melanerpes rubricapillus",52.3,104.9,24.8
"Melanerpes striatus",73.4,117.2,20.3
"Melanerpes superciliaris",77.3,142.2,21.5
"Melanerpes uropygialis",64.7,131.4,21.8
"Micropternus brachyurus",85.9,118.2,17.9
"Mulleripicus fuliginosus",172,152.3,21.2
"Mulleripicus fulvus",312.3,179.5,17
"Mulleripicus funebris",164,161,20.2
"Mulleripicus pulverulentus",450.2,238.6,24.5
"Nesoctites micromegas",32.2,74,14.2
"Picoides arcticus",69.2,128.8,25.2
"Picoides canicapillus",25.8,83.3,28.3
"Picoides funebris",65.5,123.7,27
"Picoides kizuki",19.2,82,28.9
"Picoides maculatus",24.5,81.6,25
"Picoides moluccensis",16.2,72.6,23
"Picoides nanus",16.2,76.4,27.4
"Picoides ramsayi",24.5,82.2,27.8
"Picoides temminckii",66.7,76.5,23.4
"Picoides tridactylus",65.5,120.9,29.4
"Piculus aurulentus",75,118.6,20.4
"Piculus callopterus",51,107.5,25.2
"Piculus chrysochloros",88,126.2,18
"Piculus flavigula",55,114,22.4
"Piculus leucolaemus",69,119.5,26.2
"Piculus litae",69,85.2,31.4
"Piculus simplex",55,111.7,26.2
"Picumnus albosquamatus",11.9,53,12.5
"Picumnus aurifrons",8.9,49.2,10.3
"Picumnus castelnau",11.4,51.1,16
"Picumnus cinnamomeus",11.3,55.6,14.8
"Picumnus cirratus",10.2,53.6,11.6
"Picumnus dorbignyanus",9.6,52.9,13.7
"Picumnus exilis",9.3,48.6,13.6
"Picumnus fulvescens",11.3,50.2,10.8
"Picumnus fuscus",11.3,50.7,13.9
"Picumnus granadensis",12.2,56.1,16.2
"Picumnus innominatus",10.2,53.4,10.7
"Picumnus lafresnayi",9.5,50.8,17
"Picumnus limae",11.3,51.3,8.8
"Picumnus minutissimus",13.3,54.5,13
"Picumnus nebulosus",11.6,57.2,9
"Picumnus nigropunctatus",11.3,47.9,15.4
"Picumnus olivaceus",10.6,52.4,15.5
"Picumnus pumilus",9.5,49.7,13.1
"Picumnus pygmaeus",11,52.2,12.3
"Picumnus rufiventris",21,59.7,15.3
"Picumnus sclateri",11,52.2,15.3
"Picumnus spilogaster",13.2,53.8,13.8
"Picumnus squamulatus",10.2,51.2,17.5
"Picumnus steindachneri",9.9,54.5,15.7
"Picumnus subtilis",10.4,50.4,13.8
"Picumnus temminckii",11.5,53.6,13.2
"Picumnus varzeae",11.5,51.3,11
"Picus awokera",143,140.2,27.5
"Picus canus",137,146.6,25.8
"Picus chlorolophus",65.4,129,23.8
"Picus dedemi",137,133.6,15.4
"Picus erythropygius",116.2,156.8,22.6
"Picus guerini",137,142.4,24.6
"Picus puniceus",79.1,121.2,23.6
"Picus rabieri",111.4,135.2,16.3
"Picus sharpei",176,155.8,26.6
"Picus squamatus",170,161,23.5
"Picus vaillantii",176,154,28
"Picus viridanus",111.4,137.8,19.5
"Picus viridis",176,165.4,24.7
"Picus vittatus",108.1,126.4,18.5
"Picus xanthopygaeus",99.7,129.8,22.4
"Sasia abnormis",9.2,52.4,9.7
"Sasia ochracea",9.7,52.9,10.3
"Sphyrapicus nuchalis",48.5,122.8,31.7
"Sphyrapicus ruber",54.8,126.6,30.4
"Sphyrapicus thyroideus",47.6,135.5,32.2
"Sphyrapicus varius",50.3,124.8,33.9
"Veniliornis affinis",34.8,91.9,20.7
"Veniliornis callonotus",26.5,74,15.6
"Veniliornis cassini",34.6,94.4,24.9
"Veniliornis chocoensis",30,90.2,23.1
"Veniliornis dignus",37.6,96.6,24.1
"Veniliornis frontalis",36.7,93.2,18.2
"Veniliornis kirkii",28.8,86.1,17.5
"Veniliornis lignarius",34,88.4,19.3
"Veniliornis maculifrons",38.7,94.2,22.8
"Veniliornis mixtus",28.7,84.6,18.5
"Veniliornis nigriceps",44,97.8,18.6
"Veniliornis passerinus",32.1,76.6,15.1
"Veniliornis sanguineus",26.5,74.8,14
"Veniliornis spilogaster",40.3,96,18.8
"Verreauxia africana",9.4,48,10.9
"Xiphidiopicus percussus",60.9,122,17.9
"Andigena cucullata",311.8,178.6,10.2
"Andigena hypoglauca",312.8,171,10.7
"Andigena laminirostris",311,169.2,13
"Andigena nigrirostris",350,167.3,12
"Aulacorhynchus albivitta",195,125.1,13
"Aulacorhynchus atrogularis",163,117.9,11.5
"Aulacorhynchus caeruleogularis",145,116.9,12.6
"Aulacorhynchus calorhynchus",170.6,121.5,12.6
"Aulacorhynchus coeruleicinctis",208,141.9,12
"Aulacorhynchus cyanolaemus",170.6,128.9,13.4
"Aulacorhynchus derbianus",209.7,133.8,12.4
"Aulacorhynchus haematopygus",194.4,134.5,15
"Aulacorhynchus huallagae",268.8,140.3,12.1
"Aulacorhynchus prasinus",170.6,129.9,12.8
"Aulacorhynchus sulcatus",167,127,13.9
"Aulacorhynchus wagleri",183,127.5,11.7
"Aulacorhynchus whitelianus",133,118.6,17.7
"Pteroglossus aracari",250.2,143.1,15.6
"Pteroglossus azara",144.5,123.5,17.7
"Pteroglossus bailloni",146,129,14.5
"Pteroglossus beauharnaisii",215.9,141.6,16
"Pteroglossus bitorquatus",142,117.8,17.6
"Pteroglossus castanotis",258.1,154.4,16.4
"Pteroglossus erythropygius",219.1,155.2,14.6
"Pteroglossus frantzii",253,149.6,16.3
"Pteroglossus humboldti",125.8,125.9,19.8
"Pteroglossus inscriptus",125.8,117.1,16.4
"Pteroglossus pluricinctus",261.7,148.5,16.2
"Pteroglossus sanguineus",219.1,138,19.1
"Pteroglossus sturmii",142,117.2,19.3
"Pteroglossus torquatus",219.1,146.9,15.7
"Pteroglossus viridis",135,119,20.6
"Ramphastos ambiguus",651.7,223.9,10.1
"Ramphastos ariel",360.4,191.7,13.6
"Ramphastos brevis",412,196.2,14.3
"Ramphastos citreolaemus",360.4,199,12.8
"Ramphastos culminatus",360.4,198.3,12.6
"Ramphastos cuvieri",659.6,236.9,13.4
"Ramphastos dicolorus",331,191.8,14
"Ramphastos sulfuratus",409.7,200.4,14.8
"Ramphastos toco",618,242.2,22.4
"Ramphastos tucanus",659.6,237,15.3
"Ramphastos vitellinus",360.4,194.5,13.1
"Selenidera gouldii",180.9,127.2,18.3
"Selenidera langsdorffii",161.8,126.4,18.8
"Selenidera maculirostris",164,130.7,14.8
"Selenidera nattereri",158.4,125.3,16.4
"Selenidera piperivora",147,117.7,20.2
"Selenidera reinwardtii",161.8,126.4,15.5
"Selenidera spectabilis",219,135,15.3
"Semnornis frantzii",57.3,88.8,13.7
"Semnornis ramphastinus",97.7,107.2,14.4
"Aechmophorus clarkii",1090.9,195.4,41.8
"Aechmophorus occidentalis",1137,184.5,40.8
"Podiceps auritus",453,137.8,42.2
"Podiceps cristatus",731,183.6,42.9
"Podiceps gallardoi",575,141.4,36.8
"Podiceps grisegena",1023,167.1,40.9
"Podiceps juninensis",320.7,126.7,34.4
"Podiceps major",1646,181.4,41.7
"Podiceps nigricollis",412.4,127.2,44
"Podiceps occipitalis",320.7,126,39.4
"Podiceps taczanowskii",390.2,120,35.5
"Podilymbus podiceps",411.9,125.6,34
"Poliocephalus poliocephalus",239.9,110,41.1
"Poliocephalus rufopectus",249,111.2,32
"Rollandia microptera",706,117.6,36.9
"Rollandia rolland",324.3,134.6,34
"Tachybaptus dominicus",132.6,97,23.4
"Tachybaptus novaehollandiae",219,102,31.5
"Tachybaptus pelzelnii",184,94.4,30.8
"Tachybaptus ruficollis",169.4,100,32.2
"Diomedea amsterdamensis",6270,636.5,38.3
"Diomedea antipodensis",6961.3,628.3,66.7
"Diomedea dabbenena",6961.3,636.5,38.3
"Diomedea epomophora",8905.6,662.5,56.4
"Diomedea exulans",6961.3,634.5,66.7
"Diomedea sanfordi",8905.6,610.8,64.1
"Phoebastria albatrus",4411,549.2,66.3
"Phoebastria immutabilis",3145.9,474.4,66.2
"Phoebastria irrorata",3376.4,534.5,63.4
"Phoebastria nigripes",3188.4,476,64.7
"Phoebetria fusca",2553.7,510.2,68.3
"Phoebetria palpebrata",3150,523.8,69
"Thalassarche bulleri",2781.5,501.2,66.4
"Thalassarche carteri",2128.8,473.5,34.5
"Thalassarche cauta",3897.7,566.2,64.7
"Thalassarche chlororhynchos",2128.8,465,67.5
"Thalassarche chrysostoma",3499,518,64.9
"Thalassarche eremita",3897.7,542,47.9
"Thalassarche impavida",3202.9,499,64.5
"Thalassarche melanophris",3202.9,513.2,64.2
"Thalassarche salvini",3897.7,558,62.1
"Thalassarche steadi",3897.7,580,17.2
"Hydrobates castro",46.1,150.4,60
"Hydrobates cheimomnestes",36.7,150.4,58.8
"Hydrobates furcatus",59.7,155.6,60.8
"Hydrobates homochroa",36.9,132.8,58.4
"Hydrobates hornbyi",40.6,163.2,58.3
"Hydrobates jabejabe",46.1,150.4,60
"Hydrobates leucorhous",36.7,150.4,58.8
"Hydrobates macrodactylus",36.7,163.3,53.2
"Hydrobates markhami",53.1,170.8,61.3
"Hydrobates matsudairae",62,185,58.6
"Hydrobates melania",61.5,172.2,61.6
"Hydrobates microsoma",20.5,119,60
"Hydrobates monorhis",39.8,152.6,58.4
"Hydrobates monteiroi",46.1,153,43.8
"Hydrobates pelagicus",25.2,119,59
"Hydrobates socorroensis",36.7,150.4,58.8
"Hydrobates tethys",22.6,129.8,59.4
"Hydrobates tristrami",89.1,177.4,57.2
"Fregetta grallaria",50.6,168.6,58.2
"Fregetta maoriana",34.5,141,57.7
"Fregetta tropica",52,164.4,56.5
"Garrodia nereis",38.2,125.2,55.7
"Nesofregetta fuliginosa",70,197.6,55.9
"Oceanites gracilis",16.7,133.4,59.3
"Oceanites oceanicus",30.4,147.2,58.6
"Oceanites pincoyae",26,133.4,59.3
"Pelagodroma marina",47.2,158.2,54.1
"Aphrodroma brevirostris",357,240.2,61.5
"Ardenna bulleri",407,276.2,59.1
"Ardenna carneipes",609,310.2,61
"Ardenna creatopus",744,324,62.6
"Ardenna gravis",849,317.8,61.9
"Ardenna grisea",787,295.6,61.8
"Ardenna pacifica",388,296.8,61.4
"Ardenna tenuirostris",559,262.2,63.8
"Bulweria bulwerii",99,203.2,62.1
"Bulweria fallax",173,240.8,62.1
"Calonectris borealis",535,347,53.7
"Calonectris diomedea",535,344.2,64.1
"Calonectris edwardsii",535,309,62.4
"Calonectris leucomelas",580,319.2,61
"Daption capense",429.6,249.8,59.4
"Fulmarus glacialis",611.9,321.1,51.1
"Fulmarus glacialoides",793.4,315,49.5
"Halobaena caerulea",202,206.2,62
"Macronectes giganteus",3591.7,493.6,44.8
"Macronectes halli",4206.3,498,43.7
"Pachyptila belcheri",145,175.8,57.7
"Pachyptila crassirostris",138.3,182,53
"Pachyptila desolata",147,182.4,57.1
"Pachyptila macgillivrayi",159,192.8,59.4
"Pachyptila salvini",159,192.8,59.4
"Pachyptila turtur",137,173.8,55.1
"Pachyptila vittata",196,195.2,55.1
"Pagodroma nivea",268,247.6,62.8
"Pelecanoides garnotii",219.7,134.2,50.2
"Pelecanoides georgicus",121,113,50.7
"Pelecanoides magellani",134,125.6,48.6
"Pelecanoides urinatrix",152.1,121.7,47.7
"Pelecanoides whenuahouensis",121,104,52.4
"Procellaria aequinoctialis",1213,382.6,60.3
"Procellaria cinerea",1131,325.8,60.5
"Procellaria conspicillata",1213,355,62.9
"Procellaria parkinsoni",702.2,363,58.6
"Procellaria westlandica",1199,368.9,62
"Pseudobulweria aterrima",232,253,52.8
"Pseudobulweria becki",409,238,49
"Pseudobulweria macgillivrayi",143,204,60.8
"Pseudobulweria rostrata",409,282.5,66.9
"Pterodroma alba",259,266.2,66
"Pterodroma arminjoniana",394,283.8,67.4
"Pterodroma atrata",394,295,43.4
"Pterodroma axillaris",165,212,64
"Pterodroma baraui",400,269,58
"Pterodroma brevipes",147.1,212.2,64.6
"Pterodroma cahow",246,245,64.1
"Pterodroma caribbaea",278,274.2,40.5
"Pterodroma cervicalis",445,292,63.5
"Pterodroma cookii",177.9,213.2,64.1
"Pterodroma defilippiana",169,226,62.8
"Pterodroma deserta",311,252.5,48.3
"Pterodroma externa",428,291.3,70.2
"Pterodroma feae",311,255,65.7
"Pterodroma gouldi",531.8,313.2,53.7
"Pterodroma hasitata",278,283,53.4
"Pterodroma heraldica",394,281,64.8
"Pterodroma hypoleuca",176,228,63
"Pterodroma incerta",520,318,65.6
"Pterodroma inexpectata",316,249.8,66.5
"Pterodroma lessonii",698,303.6,65.6
"Pterodroma leucoptera",147.1,212,66.5
"Pterodroma longirostris",143,212.2,61.1
"Pterodroma macroptera",531.8,303.4,66.3
"Pterodroma madeira",201.1,253,53.9
"Pterodroma magentae",465,306,35.3
"Pterodroma mollis",312,243.2,65.1
"Pterodroma neglecta",501,288,64
"Pterodroma nigripennis",173.7,221.6,63.6
"Pterodroma phaeopygia",400.8,294.7,68.3
"Pterodroma pycrofti",159,214,63.3
"Pterodroma sandwichensis",400.8,271.3,49.2
"Pterodroma solandri",468.6,299,65.1
"Pterodroma ultima",360,260,67.3
"Puffinus assimilis",226,179.8,55.3
"Puffinus auricularis",350.8,220.2,53.6
"Puffinus bailloni",214,185,54.3
"Puffinus bannermani",192.8,208,57.2
"Puffinus bryani",147,165,40.7
"Puffinus elegans",226,184.1,53
"Puffinus gavia",228.9,198.2,63.3
"Puffinus heinrothi",192.8,178.5,24.5
"Puffinus huttoni",364,209,59.3
"Puffinus lherminieri",192.8,185.3,55.6
"Puffinus mauretanicus",497,242.2,58.1
"Puffinus myrtae",350.8,241,44.4
"Puffinus nativitatis",356,235.5,62.6
"Puffinus newelli",350.8,241,44.4
"Puffinus opisthomelas",408,233,63.5
"Puffinus persicus",192.8,196.2,57.1
"Puffinus puffinus",453.3,232.5,61.6
"Puffinus subalaris",168,186.2,56.9
"Puffinus yelkouan",497,228.8,60.6
"Thalassoica antarctica",708.4,296.2,56.7
"Cacatua alba",570,281.5,31.6
"Cacatua ducorpsii",394,248.5,30.2
"Cacatua galerita",720.4,347.3,25.9
"Cacatua goffiniana",275,210.9,29.3
"Cacatua haematuropygia",288,214.5,34.6
"Cacatua leadbeateri",396.8,261.4,36.1
"Cacatua moluccensis",835,294.2,28.7
"Cacatua ophthalmica",492,291,30.2
"Cacatua pastinator",631.7,299.4,36.9
"Cacatua sanguinea",523.7,256.2,37.4
"Cacatua sulphurea",303.3,221.2,33.8
"Cacatua tenuirostris",566.6,268,43.6
"Callocephalon fimbriatum",256,252.6,37.6
"Calyptorhynchus banksii",721.9,420.2,44.9
"Calyptorhynchus lathami",437,346.6,45.8
"Eolophus roseicapilla",328,256.2,44.9
"Nymphicus hollandicus",94.6,167.3,50.6
"Probosciger aterrimus",841,344.2,29.9
"Zanda baudinii",620,375,46.7
"Zanda funerea",674.7,426.2,42.7
"Zanda latirostris",612,361.2,45.9
"Agapornis canus",30,92,45.2
"Agapornis fischeri",48.3,93,40.4
"Agapornis lilianae",37.3,89.4,37
"Agapornis nigrigenis",40.5,92.8,42.5
"Agapornis personatus",52.4,95.2,41.3
"Agapornis pullarius",39.3,90.4,39.4
"Agapornis roseicollis",53.8,100.8,40.7
"Agapornis swindernianus",40,92.6,41.3
"Agapornis taranta",57.5,100.4,38.6
"Alexandrinus eques",163,177.8,41.2
"Alexandrinus krameri",116.1,155.8,47.7
"Alipiopsitta xanthops",159,193.2,26.7
"Alisterus amboinensis",153,204.8,39.7
"Alisterus chloropterus",156,183.8,40.5
"Alisterus scapularis",232.3,210.2,46.8
"Amazona aestiva",451,204.2,26.5
"Amazona agilis",213,160,32.5
"Amazona albifrons",206,169.4,33.7
"Amazona amazonica",370,202.2,28.2
"Amazona arausiaca",500,241.4,31.3
"Amazona auropalliata",476.9,205.6,31.8
"Amazona autumnalis",416,201.7,31
"Amazona barbadensis",270,216.1,34
"Amazona bodini",430,207.8,30.7
"Amazona brasiliensis",430,212.3,25
"Amazona collaria",187,178.2,34.2
"Amazona diadema",416,223.5,23
"Amazona dufresniana",623,203.5,30.4
"Amazona farinosa",626,244.9,27.9
"Amazona festiva",430,198.4,29
"Amazona finschi",302,192.4,36.5
"Amazona guatemalae",626,233.6,30.4
"Amazona guildingii",646,262.5,31.4
"Amazona imperialis",529.5,282,28.1
"Amazona kawalli",626,233.3,12.8
"Amazona leucocephala",235.3,198.8,33.8
"Amazona lilacina",416,197.8,26.7
"Amazona mercenarius",340,214,32.4
"Amazona ochrocephala",476.9,212.9,28.3
"Amazona oratrix",476.9,222.6,34.8
"Amazona pretrei",272.8,203.9,26.2
"Amazona rhodocorytha",474.3,210,29.9
"Amazona tucumana",260,196.8,38.5
"Amazona ventralis",214,183.6,37
"Amazona versicolor",676,256.6,31.4
"Amazona vinacea",254,214.2,31.6
"Amazona viridigenalis",316,199,36.4
"Amazona vittata",279.3,182.2,33.4
"Amazona xantholora",217,165.2,40.3
"Anodorhynchus glaucus",940,362,46
"Anodorhynchus hyacinthinus",1331,444,30.9
"Anodorhynchus leari",940,378.1,30.7
"Aprosmictus erythropterus",136,190.2,45.5
"Aprosmictus jonquillaceus",119,176.5,38.5
"Ara ambiguus",1300,400,39.2
"Ara ararauna",1125,381.3,30.1
"Ara chloropterus",1214,402.1,41.5
"Ara glaucogularis",784,343.4,33.1
"Ara macao",1015,393.7,32.7
"Ara militaris",1134,366.7,41.1
"Ara rubrogenys",468,299.6,37.9
"Ara severus",343,239.4,35.9
"Aratinga auricapillus",130,154.2,48
"Aratinga jandaya",89.4,156.2,42
"Aratinga maculata",119.6,153.4,40.6
"Aratinga nenday",128,182.2,46.5
"Aratinga solstitialis",119.6,156.2,41.3
"Aratinga weddellii",108,141.8,43.5
"Barnardius zonarius",133,169.2,41.2
